Goal_X,Goal_Y,Epsilon,N,Iteracion,Exito,Tiempo_s,Waypoints
6.0,-2.5,0.5,900,4,True,0.1940,21
6.0,-2.5,0.5,900,5,True,0.1080,20
6.0,-2.5,0.5,900,6,True,0.0441,17
6.0,-2.5,0.5,900,7,True,0.0607,23
6.0,-2.5,0.5,900,8,True,0.0243,18
6.0,-2.5,0.5,900,9,True,0.0262,16
6.0,-2.5,0.5,900,10,True,0.0216,18
6.0,-2.5,0.8,100,1,False,0.0146,1
6.0,-2.5,0.8,100,2,False,0.0248,1
6.0,-2.5,0.8,100,3,True,0.0092,11
6.0,-2.5,0.8,100,4,False,0.0113,1
6.0,-2.5,0.8,100,5,True,0.0062,11
6.0,-2.5,0.8,100,6,True,0.0069,11
6.0,-2.5,0.8,100,7,True,0.0191,12
6.0,-2.5,0.8,100,8,True,0.0182,11
6.0,-2.5,0.8,100,9,True,0.0072,10
6.0,-2.5,0.8,100,10,True,0.0270,10
6.0,-2.5,0.8,300,1,True,0.0068,10
6.0,-2.5,0.8,300,2,True,0.0101,11
6.0,-2.5,0.8,300,3,True,0.0246,15
6.0,-2.5,0.8,300,4,True,0.0103,13
6.0,-2.5,0.8,300,5,True,0.0157,16
6.0,-2.5,0.8,300,6,True,0.0074,11
6.0,-2.5,0.8,300,7,True,0.0320,11
6.0,-2.5,0.8,300,8,True,0.0254,17
6.0,-2.5,0.8,300,9,True,0.0335,14
6.0,-2.5,0.8,300,10,True,0.0065,11
6.0,-2.5,0.8,600,1,True,0.0083,12
6.0,-2.5,0.8,600,2,True,0.0143,13
6.0,-2.5,0.8,600,3,True,0.0140,14
6.0,-2.5,0.8,600,4,True,0.0163,12
6.0,-2.5,0.8,600,5,True,0.0201,14
6.0,-2.5,0.8,600,6,True,0.0100,10
6.0,-2.5,0.8,600,7,True,0.0205,15
6.0,-2.5,0.8,600,8,True,0.0206,12
6.0,-2.5,0.8,600,9,True,0.0121,12
6.0,-2.5,0.8,600,10,True,0.0241,14
6.0,-2.5,0.8,900,1,True,0.0208,14
6.0,-2.5,0.8,900,2,True,0.0504,13
6.0,-2.5,0.8,900,3,True,0.0413,16
6.0,-2.5,0.8,900,4,True,0.0280,19
6.0,-2.5,0.8,900,5,True,0.0079,11
6.0,-2.5,0.8,900,6,True,0.0341,11
6.0,-2.5,0.8,900,7,True,0.0181,12
6.0,-2.5,0.8,900,8,True,0.0522,16
6.0,-2.5,0.8,900,9,True,0.0126,12
6.0,-2.5,0.8,900,10,True,0.0282,13
6.0,-2.5,1.0,100,1,True,0.0051,10
6.0,-2.5,1.0,100,2,True,0.0222,9
6.0,-2.5,1.0,100,3,True,0.0073,9
6.0,-2.5,1.0,100,4,False,0.0163,1
6.0,-2.5,1.0,100,5,True,0.0117,10
6.0,-2.5,1.0,100,6,True,0.0125,10
6.0,-2.5,1.0,100,7,True,0.0129,10
6.0,-2.5,1.0,100,8,True,0.0080,9
6.0,-2.5,1.0,100,9,True,0.0117,11
6.0,-2.5,1.0,100,10,True,0.0078,9
6.0,-2.5,1.0,300,1,True,0.0111,9
6.0,-2.5,1.0,300,2,True,0.0210,9
6.0,-2.5,1.0,300,3,True,0.0295,15
6.0,-2.5,1.0,300,4,True,0.0100,9
6.0,-2.5,1.0,300,5,True,0.0379,15
6.0,-2.5,1.0,300,6,True,0.0101,11
6.0,-2.5,1.0,300,7,True,0.0094,10
6.0,-2.5,1.0,300,8,True,0.0102,10
6.0,-2.5,1.0,300,9,True,0.0301,12
6.0,-2.5,1.0,300,10,True,0.0067,9
6.0,-2.5,1.0,600,1,True,0.0080,13
6.0,-2.5,1.0,600,2,True,0.0165,14
6.0,-2.5,1.0,600,3,True,0.0091,10
6.0,-2.5,1.0,600,4,True,0.0340,10
6.0,-2.5,1.0,600,5,True,0.0168,12
6.0,-2.5,1.0,600,6,True,0.0279,12
6.0,-2.5,1.0,600,7,True,0.0131,10
6.0,-2.5,1.0,600,8,True,0.0103,9
6.0,-2.5,1.0,600,9,True,0.0136,9
6.0,-2.5,1.0,600,10,True,0.0077,11
6.0,-2.5,1.0,900,1,True,0.0127,12
6.0,-2.5,1.0,900,2,True,0.0155,11
6.0,-2.5,1.0,900,3,True,0.0241,11
6.0,-2.5,1.0,900,4,True,0.0224,13
6.0,-2.5,1.0,900,5,True,0.0109,9
6.0,-2.5,1.0,900,6,True,0.0178,10
6.0,-2.5,1.0,900,7,True,0.0137,9
6.0,-2.5,1.0,900,8,True,0.0081,11
6.0,-2.5,1.0,900,9,True,0.0174,10
6.0,-2.5,1.0,900,10,True,0.0230,16
2.0,3.0,0.2,100,1,False,0.0160,1
2.0,3.0,0.2,100,2,False,0.0113,1
2.0,3.0,0.2,100,3,False,0.0157,1
2.0,3.0,0.2,100,4,False,0.0173,1
2.0,3.0,0.2,100,5,False,0.0133,1
2.0,3.0,0.2,100,6,False,0.0114,1
2.0,3.0,0.2,100,7,False,0.0112,1
2.0,3.0,0.2,100,8,False,0.0177,1
2.0,3.0,0.2,100,9,False,0.0082,1
2.0,3.0,0.2,100,10,False,0.0154,1
2.0,3.0,0.2,300,1,False,0.0407,1
2.0,3.0,0.2,300,2,False,0.0385,1
2.0,3.0,0.2,300,3,False,0.0283,1
2.0,3.0,0.2,300,4,False,0.0377,1
2.0,3.0,0.2,300,5,False,0.0325,1
2.0,3.0,0.2,300,6,False,0.0423,1
2.0,3.0,0.2,300,7,False,0.0352,1
2.0,3.0,0.2,300,8,False,0.0325,1
2.0,3.0,0.2,300,9,False,0.0268,1
2.0,3.0,0.2,300,10,False,0.0371,1
2.0,3.0,0.2,600,1,False,0.1007,1
2.0,3.0,0.2,600,2,True,0.0743,28
2.0,3.0,0.2,600,3,False,0.0797,1
2.0,3.0,0.2,600,4,False,0.0935,1
2.0,3.0,0.2,600,5,True,0.0413,29
2.0,3.0,0.2,600,6,False,0.0860,1
2.0,3.0,0.2,600,7,False,0.0959,1
2.0,3.0,0.2,600,8,False,0.0712,1
2.0,3.0,0.2,600,9,False,0.1066,1
2.0,3.0,0.2,600,10,False,0.0828,1
2.0,3.0,0.2,900,1,True,0.0349,25
2.0,3.0,0.2,900,2,False,0.1665,1
2.0,3.0,0.2,900,3,True,0.0686,24
2.0,3.0,0.2,900,4,True,0.0397,25
2.0,3.0,0.2,900,5,True,0.0452,26
2.0,3.0,0.2,900,6,False,0.1561,1
2.0,3.0,0.2,900,7,False,0.1805,1
2.0,3.0,0.2,900,8,True,0.0760,24
2.0,3.0,0.2,900,9,True,0.0708,25
2.0,3.0,0.2,900,10,True,0.1279,24
2.0,3.0,0.5,100,1,True,0.0277,12
2.0,3.0,0.5,100,2,False,0.0187,1
2.0,3.0,0.5,100,3,False,0.0113,1
2.0,3.0,0.5,100,4,False,0.0159,1
2.0,3.0,0.5,100,5,False,0.0171,1
2.0,3.0,0.5,100,6,False,0.0291,1
2.0,3.0,0.5,100,7,False,0.0174,1
2.0,3.0,0.5,100,8,True,0.0167,13
2.0,3.0,0.5,100,9,False,0.0108,1
2.0,3.0,0.5,100,10,True,0.0160,11
2.0,3.0,0.5,300,1,True,0.0068,11
2.0,3.0,0.5,300,2,True,0.0243,10
2.0,3.0,0.5,300,3,True,0.0357,11
2.0,3.0,0.5,300,4,False,0.0401,1
2.0,3.0,0.5,300,5,True,0.0266,11
2.0,3.0,0.5,300,6,True,0.0109,11
2.0,3.0,0.5,300,7,False,0.0436,1
2.0,3.0,0.5,300,8,True,0.0486,13
2.0,3.0,0.5,300,9,False,0.0517,1
2.0,3.0,0.5,300,10,False,0.0429,1
2.0,3.0,0.5,600,1,True,0.0767,11
